"sample_library_id","sample_id","position","angle_twotheta","intensity_arbu"
"6826","212300","1","19.0","0"
"6826","212300","1","19.05","158.6"
"6826","212300","1","19.1","316.7"
"6826","212300","1","19.15","-872.6"
"6826","212300","1","19.2","1178"
"6826","212300","1","19.25","-215.7"
"6826","212300","1","19.3","-536.2"
"6826","212300","1","19.35","474.6"
"6826","212300","1","19.4","-290.2"
"6826","212300","1","19.45","237"
"6826","212300","1","19.5","1280"
"6826","212300","1","19.55","-339.5"
"6826","212300","1","19.6","-78.4"
"6826","212300","1","19.65","-24.37"
"6826","212300","1","19.7","-755"
"6826","212300","1","19.75","1335"
"6826","212300","1","19.8","700.3"
"6826","212300","1","19.85","-529.9"
"6826","212300","1","19.9","-103"
"6826","212300","1","19.95","-147.4"
"6826","212300","1","20.0","915.7"
"6826","212300","1","20.05","672.5"
"6826","212300","1","20.1","1243"
"6826","212300","1","20.15","257.5"
"6826","212300","1","20.2","2365"
"6826","212300","1","20.25","1610"
"6826","212300","1","20.3","976.4"
"6826","212300","1","20.35","1239"
"6826","212300","1","20.4","1047"
"6826","212300","1","20.45","1362"
"6826","212300","1","20.5","2237"
"6826","212300","1","20.55","2765"
"6826","212300","1","20.6","2424"
"6826","212300","1","20.65","2912"
"6826","212300","1","20.7","3695"
"6826","212300","1","20.75","3522"
"6826","212300","1","20.8","3078"
"6826","212300","1","20.85","2922"
"6826","212300","1","20.9","4326"
"6826","212300","1","20.95","5191"
"6826","212300","1","21.0","3941"
"6826","212300","1","21.05","4068"
"6826","212300","1","21.1","5397"
"6826","212300","1","21.15","7426"
"6826","212300","1","21.2","5360"
"6826","212300","1","21.25","4332"
"6826","212300","1","21.3","5323"
"6826","212300","1","21.35","4165"
"6826","212300","1","21.4","6079"
"6826","212300","1","21.45","5843"
"6826","212300","1","21.5","5423"
"6826","212300","1","21.55","6087"
"6826","212300","1","21.6","5621"
"6826","212300","1","21.65","5689"
"6826","212300","1","21.7","5164"
"6826","212300","1","21.75","7554"
"6826","212300","1","21.8","5205"
"6826","212300","1","21.85","8162"
"6826","212300","1","21.9","5215"
"6826","212300","1","21.95","5264"
"6826","212300","1","22.0","6099"
"6826","212300","1","22.05","7699"
"6826","212300","1","22.1","7296"
"6826","212300","1","22.15","7333"
"6826","212300","1","22.2","8422"
"6826","212300","1","22.25","6520"
"6826","212300","1","22.3","7925"
"6826","212300","1","22.35","7845"
"6826","212300","1","22.4","8883"
"6826","212300","1","22.45","6309"
"6826","212300","1","22.5","8598"
"6826","212300","1","22.55","10440"
"6826","212300","1","22.6","9578"
"6826","212300","1","22.65","9833"
"6826","212300","1","22.7","8082"
"6826","212300","1","22.75","9317"
"6826","212300","1","22.8","9696"
"6826","212300","1","22.85","8893"
"6826","212300","1","22.9","7851"
"6826","212300","1","22.95","8971"
